10:4:46 - ~~~~~~~~~~~~~~~~~~~Front End Started~~~~~~~~~~~~~~~~~~~
10:4:54 - Server Thread 0 started!
10:4:54 - Server Thread 1 started!
10:4:54 - Server Thread 2 started!
10:4:54 - Server Thread 3 started!
10:4:54 - Server Thread 4 started!
10:4:54 - Server Thread 5 started!
10:4:54 - Server Thread 6 started!
10:4:54 - Server Thread 7 started!
10:4:54 - Server Thread 8 started!
10:4:54 - Server Thread 9 started!
10:4:54 - Server Thread 10 started!
10:4:54 - Server Thread 11 started!
10:4:54 - Server Thread 12 started!
10:4:54 - Server Thread 13 started!
10:4:54 - Server Thread 14 started!
10:4:54 - Server Thread 15 started!
10:4:54 - Server Thread 16 started!
10:4:54 - Server Thread 17 started!
10:4:54 - Server Thread 18 started!
10:4:54 - Server Thread 19 started!
10:4:54 - Server Thread 20 started!
10:4:54 - Server Thread 21 started!
10:4:54 - Server Thread 22 started!
10:4:54 - Server Thread 23 started!
10:4:54 - Server Thread 24 started!
10:4:54 - Server Thread 25 started!
10:4:54 - Server Thread 26 started!
10:4:54 - Server Thread 27 started!
10:4:54 - Server Thread 28 started!
10:4:54 - Server Thread 29 started!
10:8:33 - Server Thread 0 closed!
10:8:33 - Server Thread 1 closed!
10:8:33 - Server Thread 2 closed!
10:8:33 - Server Thread 3 closed!
10:8:33 - Server Thread 4 closed!
10:8:33 - Server Thread 5 closed!
10:8:33 - Server Thread 6 closed!
10:8:33 - Server Thread 7 closed!
10:8:33 - Server Thread 8 closed!
10:8:33 - Server Thread 9 closed!
10:8:33 - Server Thread 10 closed!
10:8:33 - Server Thread 11 closed!
10:8:33 - Server Thread 12 closed!
10:8:33 - Server Thread 13 closed!
10:8:33 - Server Thread 14 closed!
10:8:33 - Server Thread 15 closed!
10:8:33 - Server Thread 16 closed!
10:8:33 - Server Thread 17 closed!
10:8:33 - Server Thread 18 closed!
10:8:33 - Server Thread 19 closed!
10:8:33 - Server Thread 20 closed!
10:8:33 - Server Thread 21 closed!
10:8:33 - Server Thread 22 closed!
10:8:33 - Server Thread 23 closed!
10:8:33 - Server Thread 24 closed!
10:8:33 - Server Thread 25 closed!
10:8:33 - Server Thread 26 closed!
10:8:33 - Server Thread 27 closed!
10:8:33 - Server Thread 28 closed!
10:8:33 - Server Thread 29 closed!
10:9:16 - ~~~~~~~~~~~~~~~~~~~Front End Started~~~~~~~~~~~~~~~~~~~
10:9:23 - Server Thread 0 started!
10:9:23 - Server Thread 1 started!
10:9:23 - Server Thread 2 started!
10:9:23 - Server Thread 3 started!
10:9:23 - Server Thread 4 started!
10:9:23 - Server Thread 5 started!
10:9:23 - Server Thread 6 started!
10:9:23 - Server Thread 7 started!
10:9:23 - Server Thread 8 started!
10:9:23 - Server Thread 9 started!
10:9:23 - Server Thread 10 started!
10:9:23 - Server Thread 11 started!
10:9:23 - Server Thread 12 started!
10:9:23 - Server Thread 13 started!
10:9:23 - Server Thread 14 started!
10:9:23 - Server Thread 15 started!
10:9:23 - Server Thread 16 started!
10:9:23 - Server Thread 17 started!
10:9:23 - Server Thread 18 started!
10:9:23 - Server Thread 19 started!
10:9:23 - Server Thread 20 started!
10:9:23 - Server Thread 21 started!
10:9:23 - Server Thread 22 started!
10:9:23 - Server Thread 23 started!
10:9:23 - Server Thread 24 started!
10:9:23 - Server Thread 25 started!
10:9:23 - Server Thread 26 started!
10:9:23 - Server Thread 27 started!
10:9:23 - Server Thread 28 started!
10:9:23 - Server Thread 29 started!
